query-id match-id score boundaries resolved cond-evalue indp-evalue
Q06151 DcpS_C 112.2 160-286 160-286 1.9e-36 1.8e-32
Q12084 PRK 43.2 24-181 24-181 2e-15 3.8e-11
P32325 Dfp1_Him1_M 146.1 189-311 189-311 6.5e-47 6.2e-43
P32325 zf-DBF 72.9 656-700 656-700 1.8e-24 1.7e-20
P32891 FAD_binding_4 124 151-291 151-291 3.8e-40 3.7e-36
P32891 FAD-oxidase_C 200 327-574 327-574 5.3e-63 5.1e-59
P31385 Sds3 169.8 182-402 182-402 4.6e-54 8.8e-50
Q05902 G_glu_transpept 528.1 123-654 123-654 1.3e-162 2.6e-158
P39985 DNA_pol_phi 732.4 46-859 46-859 3.2e-224 6.2e-220
P21951 DNA_pol_B_exo1 284.6 121-442 121-442 2.7e-88 1e-84
P21951 DNA_pol_B 43.3 634-1106 634-1106 5.5e-15 2.1e-11
P21951 DUF1744 476 1528-1920 1528-1920 1.9e-146 7.4e-143
P24521 GHMP_kinases_N 62.3 143-216 143-216 4.3e-21 4.1e-17
P24521 GHMP_kinases_C 22.7 345-426 345-426 1.1e-08 0.00011
P19658 Exo70 299.7 236-620 236-620 1.6e-93 3.1e-89
P35731 adh_short 33.2 5-73 5-73 5.5e-12 3.5e-08
P35731 adh_short 93 106-245 106-245 2.7e-30 1.7e-26
Q03254 NIF 80.2 175-196,235-373 175-196,235-373 2.2e-26 1.4e-22
Q03254 BRCT 51.1 499-580 499-580 2.1e-17 1.4e-13
P29703 PPTA 21.3 48-79 48-79 9.2e-09 0.00018
P29703 PPTA 30.9 90-121 90-121 7.8e-12 1.5e-07
P29703 PPTA 29.1 126-157 126-157 3e-11 5.7e-07
P29703 PPTA 23.3 160-189 160-189 2e-09 3.9e-05
Q05040 Striatin 75.2 13-69 13-69 4.2e-25 8.1e-21
P18411 FUN14 25.8 106-195 106-195 6e-10 1.2e-05
Q08622 MMR_HSR1 32.7 216-235,272-340 216-235,272-340 3.6e-12 6.8e-08
P40056 GET2 302.4 3-283 3-283 2.7e-94 5.1e-90
P13711 Acyl-CoA_ox_N 39.6 30-174 30-174 1.1e-13 7e-10
P13711 Acyl-CoA_dh_M 78.9 185-295 185-295 4e-26 2.5e-22
P13711 ACOX 140.2 546-725 546-725 8.5e-45 5.4e-41
P32454 Peptidase_M1_N 179.8 107-290 107-290 1e-56 6.5e-53
P32454 Peptidase_M1 294.7 324-541 324-541 6.5e-92 4.2e-88
P32454 ERAP1_C 279.1 614-930 614-930 9.2e-87 5.9e-83
P14904 Peptidase_M18 550.8 59-501 59-501 1.1e-169 2.1e-165
Q08492 U3_snoRNA_assoc 64.5 111-208 111-208 6.2e-22 1.2e-17
P24870 Cyclin_N 152.1 171-297 171-297 6.4e-49 6.2e-45
P24870 Cyclin_C 121.5 299-414 299-414 2.2e-39 2.1e-35
O13547 CFEM 34.4 20-84 20-84 9.6e-13 1.8e-08
Q12287 COX17 79.8 18-65 18-65 7.4e-27 1.4e-22
P32623 Glyco_hydro_16 147.9 96-273 96-273 1.2e-47 2.2e-43
P43497 PIR 31.9 23-40 23-40 3.6e-12 7e-08
P36075 CUE 22.8 9-50 9-50 3e-09 5.7e-05
P36075 CUE 38.1 56-97 56-97 5e-14 9.6e-10
P53899 zf-AN1 41.8 18-53 18-53 4.8e-15 9.3e-11
P32347 URO-D 433.9 7-359 7-359 2.3e-134 4.5e-130
Q04895 Transp_cyt_pur 604.3 105-564 105-564 6.8e-186 1.3e-181
P36009 DEAD 36.9 84-247 84-247 6.7e-13 3.2e-09
P36009 Helicase_C 35.5 277-416 277-416 2.3e-12 1.1e-08
P36009 HA2 70.2 477-594 477-594 3.2e-23 1.5e-19
P36009 OB_NTP_bind 54.9 645-723 645-723 1.9e-18 9.1e-15
P13382 DNA_pol_alpha_N 68.3 11-77 11-77 1e-22 4.8e-19
P13382 DNA_pol_B_exo1 205.1 375-719 375-719 3.4e-64 1.7e-60
P13382 DNA_pol_B 415.5 783-1229 783-1229 5.6e-128 2.7e-124
P13382 zf-DNA_Pol 218.8 1269-1463 1269-1463 1.1e-68 5e-65
P39727 ERGIC_N 101.2 6-96 6-96 3.3e-33 3.2e-29
P39727 COPIIcoated_ERV 270.2 143-399 143-399 1.7e-84 1.7e-80
P36168 PIN_4 45.5 1027-1177 1027-1177 5e-16 9.5e-12
P38767 MatE 142.7 174-335 174-335 4.3e-46 8.3e-42
P38767 MatE 85.3 403-548 403-548 2e-28 3.8e-24
P53917 N1221 242.3 218-487 218-487 6.6e-76 6.4e-72
P53917 DUF3402 99 585-809 585-807 3.8e-32 3.7e-28
P53917 DUF3402 85.4 805-951 808-951 4.9e-28 4.7e-24
P42940 ETF 141.7 30-218 30-218 1.2e-45 2.3e-41
P23776 Cellulase 46.5 94-349 94-349 1.7e-16 3.3e-12
Q08421 Nro1 511.3 1-410 1-410 1.1e-157 2.2e-153
P13434 CBFD_NFYB_HMF 85.4 40-105 40-105 1.3e-28 2.4e-24
P40466 FHA 48.6 76-162 76-162 8.2e-17 7.9e-13
P40466 Forkhead 109.4 302-388 302-388 7.5e-36 7.2e-32
Q08991 CRCB 61.2 242-362 242-362 5e-21 9.5e-17
P40515 Fis1_TPR_N 55.2 40-72 40-72 4.5e-19 4.3e-15
P40515 Fis1_TPR_C 88.4 77-129 77-129 2.8e-29 2.6e-25
P00360 Gp_dh_N 130.5 2-103 2-103 2.7e-42 2.5e-38
P00360 Gp_dh_C 238.4 155-312 155-312 2.7e-75 2.6e-71
Q03655 Glyco_hydro_72 452 14-352 14-352 6e-140 1.2e-135
P38270 ATG14 74.9 3-291 3-291 3.3e-25 6.4e-21
Q03818 ATG16 42 61-143 61-143 6.4e-15 1.2e-10
P13517 F_actin_cap_B 323.4 6-257 6-257 5e-101 9.6e-97
P32471 EF-1_beta_acid 51.6 83-110 83-110 1e-17 9.7e-14
P32471 EF1_GNE 114 122-206 122-206 2.9e-37 2.8e-33
P38723 DUP 92.1 66-167 66-167 1.1e-30 2.2e-26
P38723 DUP 111.5 254-353 254-353 1e-36 2e-32
Q07560 CDP-OH_P_transf 54.6 69-133 69-133 7.6e-19 1.5e-14
P47977 zf-CCCH 38.8 170-196 170-196 6.4e-14 6.2e-10
P47977 zf-CCCH 24.2 205-234 205-234 2.5e-09 2.4e-05
P08678 Ad_cyc_g-alpha 46 368-419 368-419 8.4e-16 3.2e-12
P08678 LRR_8 37.4 864-921 864-921 4.3e-13 1.6e-09
P08678 LRR_8 32.8 932-989 932-989 1.2e-11 4.7e-08
P08678 LRR_8 28.6 1040-1099 1040-1099 2.5e-10 9.7e-07
P08678 LRR_8 29.8 1210-1269 1210-1269 1e-10 3.9e-07
P08678 PP2C 192.6 1373-1617 1373-1617 2.5e-60 9.6e-57
P08678 Guanylate_cyc 96.4 1660-1847 1660-1847 4.4e-31 1.7e-27
Q02770 Pro_isomerase 39.9 13-155 13-155 2.6e-14 5e-10
Q08412 CUE 35.5 98-139 98-139 3.2e-13 6.2e-09
P04819 DNA_ligase_A_N 157.7 147-324 147-324 7.4e-50 3.6e-46
P04819 DNA_ligase_A_M 223.6 393-598 393-598 4.2e-70 2e-66
P04819 DNA_ligase_A_C 85.8 623-732 623-732 5.3e-28 2.6e-24
P32892 DEAD 150.6 255-426 255-426 4.1e-48 3.9e-44
P32892 Helicase_C 96.4 462-574 462-574 1.3e-31 1.3e-27
Q02647 Dynein_light 112.7 8-91 8-91 4.6e-37 8.8e-33
P48510 ubiquitin 82.2 5-75 5-75 4.6e-27 1.8e-23
P33309 eRF1_1 76.9 1-134 1-134 2.2e-25 1.4e-21
P33309 eRF1_2 110.2 141-274 141-274 1.5e-35 9.4e-32
P33309 eRF1_3 87 277-376 277-376 2e-28 1.3e-24
Q04089 DOT1 313.1 350-555 350-555 4e-98 7.6e-94
Q04110 ECM11 63.9 175-299 175-299 1.3e-21 2.4e-17
P53861 Elongin_A 63.9 19-121 19-121 8.8e-22 1.7e-17
P28003 SWIRM 36.4 328-406 328-406 2.9e-13 5.5e-09
P40569 GATA 52.4 53-89 53-89 1.6e-18 3e-14
Q06104 DUF1746 25.4 34-79,136-232 34-79,136-232 7.8e-10 1.5e-05
P38263 Vac_ImportDeg 198.2 122-232,281-347 122-232,281-347 4e-63 7.7e-59
P25569 WD40 15.7 649-687 649-687 1.2e-06 0.023
P25569 WD40 18.8 691-741 691-741 1.2e-07 0.0024
P53154 MBOAT 281.3 170-510 170-510 7.2e-88 1.4e-83
P32590 HSP70 627.7 4-644 4-644 1.8e-192 1.8e-188
P32339 Heme_oxygenase 44.8 16-253 16-253 6.9e-16 1.3e-11
P0CY11 Homeodomain 51.4 71-126 71-126 8.2e-18 7.9e-14
P19211 eIF-5a 104.8 84-151 84-151 1.1e-34 2e-30
P47031 DUF3808 513.3 38-185,266-634 38-185,266-634 3.3e-158 6.4e-154
P53219 Abhydrolase_1 98 75-326 75-326 1.6e-31 7.5e-28
P40884 Alpha-amylase 445.7 32-399 32-399 7.4e-138 1.4e-133
P11986 NAD_binding_5 479.1 66-323,440-515 66-323,440-515 7.9e-148 7.5e-144
P11986 Inos-1-P_synth 136.5 324-439 324-439 4e-44 3.9e-40
Q12031 ICL 556.9 46-575 46-575 4.3e-171 4.1e-167
P08521 Leader_CPA1 58.8 2-24 2-24 1.4e-20 2.6e-16
Q06834 zf-RING_2 37 2-48 2-48 3.7e-13 3.5e-09
P54858 BSD 54.5 176-233 176-233 4.7e-19 8.9e-15
P53208 Abhydrolase_1 112 39-309 39-309 6.1e-36 3.9e-32
Q05871 ECH_1 52.1 14-225 14-225 6.2e-18 6e-14
P02994 GTP_EFTU 183 5-236 5-236 7.5e-58 4.8e-54
P02994 GTP_EFTU_D2 53.4 258-325 258-325 4.2e-18 2.7e-14
P02994 GTP_EFTU_D3 107.2 331-440 331-440 8.3e-35 5.3e-31
P53622 WD40 26.9 43-81 43-81 2e-09 6.5e-06
P53622 WD40 34 85-123 85-123 1.2e-11 3.7e-08
P53622 WD40 27.1 127-165 127-165 1.7e-09 5.6e-06
P53622 WD40 22.4 197-237 197-237 5.1e-08 0.00016
P53622 WD40 26.1 243-281 243-281 3.5e-09 1.1e-05
P53622 Coatomer_WDAD 456.7 343-771 343-771 3e-140 9.7e-137
P53622 COPI_C 261.6 815-1201 815-1201 3.4e-81 1.1e-77
Q04632 Dor1 329.1 28-152,190-381 28-152,190-381 1.4e-102 2.7e-98
P21592 UbiA 165.3 160-412 160-412 8.2e-53 1.6e-48
P19454 Pkinase 194.8 50-334 50-334 2.8e-61 1.8e-57
P35206 CSG2 617.2 1-403 1-403 6.7e-190 1.3e-185
P10614 p450 393.8 56-521 56-521 5.6e-122 1.1e-117
P38859 Dna2 192.3 444-662 444-662 2.7e-60 8.6e-57
P38859 AAA_11 50.2 1051-1154 1051-1149 9.5e-17 3e-13
P38859 AAA_11 55.5 1145-1222 1150-1222 2.4e-18 7.6e-15
P38859 AAA_12 166.8 1229-1443 1229-1443 1.5e-52 4.7e-49
Q03652 Misat_Tub_SegII 52.2 2-114 2-114 7.4e-18 7.1e-14
Q03652 Tubulin_3 70 118-310 118-310 2.1e-23 2e-19
P34216 EF-hand_4 36.2 8-108 8-108 1.3e-12 4.8e-09
P34216 EF-hand_4 38.2 128-231 128-231 2.9e-13 1.1e-09
P34216 EF-hand_4 35.8 272-367 272-367 1.7e-12 6.4e-09
P34216 UBA 37.2 1341-1377 1341-1377 5.4e-13 2.1e-09
P00925 Enolase_N 184.9 3-134 3-134 7.1e-59 6.8e-55
P00925 Enolase_C 497.9 144-434 144-434 1e-153 9.8e-150
P06103 RRM_1 30.3 93-153 93-153 3.1e-11 3e-07
P06103 eIF2A 85 431-658 431-658 6.7e-28 6.4e-24
P25333 Pkinase 167.6 317-589 317-589 3.8e-53 3.6e-49
Q06674 HIM1 224.9 168-336 168-336 2.3e-71 4.4e-67
P15992 HSP20 96.7 96-207 96-207 7.9e-32 7.6e-28
P10591 HSP70 874.9 4-607 4-607 2.5e-267 2.4e-263
P39734 Hph 171.5 86-280 86-280 1.2e-54 2.4e-50
Q12122 HMGL-like 291.4 36-296 36-296 3.7e-91 7e-87
P47170 IML1 351.4 207-485 207-485 5.3e-109 3.4e-105
P47170 DEP 89 1201-1271 1201-1271 2.5e-29 1.6e-25
P47170 DEPDC5_CTD 27.1 1318-1428 1318-1428 4.3e-10 2.7e-06
P38691 Pkinase 133.1 96-343 96-343 1.9e-42 1.2e-38
P13186 Pkinase 220.7 99-377 99-377 5.9e-69 2.3e-65
P13186 KA1 63.6 1103-1147 1103-1147 2.6e-21 1e-17
Q07622 Sel1 19.8 318-361 318-361 5.4e-08 0.001
Q07622 Sel1 8.6 362-403 362-403 0.00018 3.4
Q07622 Sel1 33.7 408-444 408-444 2.2e-12 4.2e-08
Q07622 Sel1 7.4 446-490 446-490 0.00041 7.9
Q07622 Sel1 30.7 495-530 495-530 2e-11 3.8e-07
Q07622 Sel1 10.7 535-572 535-572 3.9e-05 0.75
Q07622 Sel1 25.2 576-611 576-611 1e-09 2e-05
P25377 ADH_N 92.2 33-150 33-150 2e-30 1.9e-26
P25377 ADH_zinc_N 68.3 191-317 191-317 6.8e-23 6.5e-19
P14540 F_bP_aldolase 297.4 17-358 17-358 5.8e-93 1.1e-88
P53730 Glyco_transf_22 114.1 8-422 8-422 4.9e-37 9.3e-33
P40350 Glycos_transf_2 97.8 76-263 76-263 3.3e-32 6.3e-28
P53886 ANAPC1 27.8 86-133,256-402 86-133,256-402 1.7e-10 3.3e-06
Q00381 Clat_adaptor_s 195.5 2-147 2-147 2e-62 3.8e-58
P21595 p450 186.8 34-483 34-483 3.3e-59 6.4e-55
P26343 GATA 55 31-65 31-65 2.4e-19 4.6e-15
Q06409 DHR-2 147.7 1373-1818 1373-1818 2.6e-47 5e-43
P35497 ADH_N 97.6 30-141 30-141 6.2e-32 3.9e-28
P35497 ADH_zinc_N 101 181-316 181-316 7.9e-33 5.1e-29
Q08650 DAGAT 30.1 79-146 79-145 1.2e-11 2.3e-07
Q08650 DAGAT 242.9 145-417 146-417 1.9e-76 3.6e-72
P32601 Mss4 96.6 12-138 12-138 3.9e-32 7.4e-28
Q99252 Mem_trans 92.7 12-231,413-596 12-231,413-596 8.4e-31 1.6e-26
P14284 DNA_pol_B_exo1 26.5 64-239 64-239 5.3e-10 3.4e-06
P14284 DNA_pol_B_exo1 47.6 616-844 616-844 2.1e-16 1.3e-12
P14284 DNA_pol_B 393.8 910-1362 910-1362 1.6e-121 1e-117
P14284 zf-C4pol 41 1398-1479 1398-1479 3.1e-14 2e-10
Q06200 SUR7 46.8 24-65,109-309 24-65,109-309 1.5e-16 2.9e-12
P23797 PIG-L 69.5 58-187 58-187 2.2e-23 4.2e-19
Q05775 eIF3_subunit 190.9 1-265 1-265 1.9e-60 3.7e-56
P11412 G6PD_N 200.5 15-196 15-196 3.7e-63 3.6e-59
P11412 G6PD_C 365.7 198-494 198-494 1.6e-113 1.6e-109
Q12676 Mur_ligase_M 22.5 29-64,95-247 29-64,95-247 5e-09 9.7e-05
P51601 GTP_cyclohydroI 250.3 61-239 61-239 4.3e-79 8.2e-75
P41277 HAD_2 59.5 15-197 15-197 4.8e-20 4.6e-16
P43570 RabGAP-TBC 37.7 72-261 72-261 9.3e-14 1.8e-09
Q12692 Histone 60.7 9-99 9-99 3.1e-20 2e-16
Q12692 Histone_H2A_C 51.1 100-133 100-133 1.4e-17 9e-14
P38635 PHP 98.1 3-244 3-244 4.1e-32 7.9e-28
P10592 HSP70 873.2 4-607 4-607 8.1e-267 7.8e-263
P19158 RasGAP 28.5 1722-1791 1722-1786 6.5e-11 1.2e-06
P19158 RasGAP 68 1782-1890 1787-1890 5.1e-23 9.8e-19
P36224 Dynamitin 50.5 168-363 168-363 1e-17 2e-13
Q06683 ResIII 96.6 31-195 31-195 2.6e-31 1.7e-27
Q06683 Helicase_C 52.8 232-373 232-373 7e-18 4.5e-14
P33550 Glyco_transf_15 369.2 48-374 48-374 1.1e-114 2.1e-110
P17260 KRE1 78.3 221-286 221-286 1.5e-26 2.8e-22
Q04437 Ku_N 180.8 5-232 5-232 5e-57 3.2e-53
Q04437 Ku 104.9 236-472 236-472 7e-34 4.5e-30
Q04437 Ku_C 34.4 480-569 480-569 4.1e-12 2.6e-08
P0CX12 DUP 94 66-167 66-167 2.8e-31 5.4e-27
P0CX12 DUP 104.2 254-351 254-351 1.9e-34 3.6e-30
Q12123 DcpS 107.6 8-129 8-129 5.5e-35 5.3e-31
Q12123 DcpS_C 116.3 159-285 159-285 1e-37 1e-33
Q08949 Rad9 22.9 16-82 16-82 2.7e-09 5.2e-05
Q08949 Rad9 25.1 207-377 207-377 5.8e-10 1.1e-05
P32328 Pkinase 189 169-322,364-469 169-322,364-469 1.7e-59 1.1e-55
P32328 Pkinase_C 19.7 488-537 488-537 1.7e-07 0.0011
P14020 Glycos_transf_2 110.6 6-172 6-172 7.8e-36 7.5e-32
P40540 MMgT 88.7 9-129 9-129 1.4e-29 2.6e-25
P32501 NTP_transferase 34.7 28-174 28-174 2.3e-12 1.5e-08
P32501 Hexapep 19.4 330-362 330-362 1e-07 0.00066
P32501 Hexapep 22 382-422 382-422 1.6e-08 0.0001
P32501 W2 58.4 631-710 631-710 9.9e-20 6.3e-16
P12754 IF-2B 376.1 285-543,609-637 285-543,609-637 5.2e-117 1e-112
Q05498 Fcf1 113.3 88-184 88-184 5.9e-37 5.7e-33
P32472 FKBP_C 121 36-129 36-129 1.1e-39 2.1e-35
P40088 FTR1 355.6 7-321 7-321 1.1e-110 2.1e-106
P08417 Lyase_1 413.8 36-367 36-367 5.3e-128 5.1e-124
P08417 FumaraseC_C 82.4 433-486 433-486 2.5e-27 2.4e-23
P40492 CLTH 91.2 187-279,341-394 187-279,341-394 3.4e-30 6.4e-26
P40208 CLTH 84.9 130-327 130-327 2.9e-28 5.6e-24
Q03554 Got1 46.1 6-112 6-112 3.3e-16 6.4e-12
P38736 V-SNARE_C 71.8 136-201 136-201 2.4e-24 4.5e-20
P48566 RabGAP-TBC 109.8 226-401 226-401 7.9e-36 1.5e-31
P48566 RabGAP-TBC 41.9 415-476 415-476 4.7e-15 9.1e-11
P06775 AA_permease 463.7 94-561 94-561 6.8e-143 6.5e-139
Q12358 TauD 190.2 114-385 114-385 3.3e-60 6.2e-56
P32350 Pkinase 140.1 313-450,483-568,690-720 313-450,483-568,690-720 9.2e-45 8.8e-41
P52923 Pyr_redox_2 104.1 6-307 6-307 9e-34 8.6e-30
P43567 Aminotran_5 69.7 23-359 23-359 1.2e-23 2.3e-19
Q01574 ACAS_N 63.3 76-137 76-137 2.4e-21 1.5e-17
Q01574 AMP-binding 291.8 138-582 138-582 1.1e-90 7.2e-87
Q01574 AMP-binding_C 82.2 590-675 590-675 6.7e-27 4.3e-23
P35181 Clat_adaptor_s 203.7 3-146 3-146 6e-65 1.2e-60
D6W196 EF-hand_7 34.3 13-79 13-79 8.1e-12 2.6e-08
D6W196 EF-hand_5 17.3 87-110 87-110 7.7e-07 0.0025
D6W196 Mito_carr 64.3 225-337 225-337 2.5e-21 8e-18
D6W196 Mito_carr 32.7 343-436 343-436 1.8e-11 5.7e-08
Q12468 JAB 109 66-190 66-190 7.2e-36 1.4e-31
P53053 DUP 96.2 65-164 65-164 6e-32 1.1e-27
P53053 DUP 90.1 257-355 257-355 4.8e-30 9.2e-26
Q07788 DUP 90.4 66-167 66-167 3.8e-30 7.3e-26
Q07788 DUP 109.7 254-353 254-353 3.7e-36 7.2e-32
P25596 MFS_1 39.3 62-251,327-490 62-251,327-490 4.1e-14 4e-10
Q02979 SPX 46.6 1-78 1-78 1.7e-15 4.8e-12
Q02979 SPX 27.8 112-215 112-215 8.9e-10 2.4e-06
Q02979 Ank_4 27.4 504-559 504-559 1.4e-09 3.9e-06
Q02979 Ank_4 24.9 573-625 573-625 8.4e-09 2.3e-05
Q02979 GDPD 316.1 877-951,1003-1212 877-951,1003-1212 7.9e-98 2.2e-94
P38682 ArfGap 115.7 16-133 16-133 6.4e-38 1.2e-33
P32191 DAO 194.3 69-466 69-466 1.5e-60 4.7e-57
P32191 DAO_C 129.2 488-633 488-633 2.5e-41 8.1e-38
P30777 Glyco_transf_22 484.7 16-93,138-484 16-93,138-484 1.5e-149 2.9e-145
P32190 FGGY_N 142 138-393 138-393 2.6e-45 2.5e-41
P32190 FGGY_C 238.7 402-626 402-626 5.3e-75 5.1e-71
P36156 GST_N_2 66.8 45-81,150-184 45-81,150-184 1.7e-22 1.6e-18
P36156 GST_C_2 32.2 228-325 228-325 8.3e-12 7.9e-08
Q08220 GSH_synth_ATP 448.3 8-210,310-490 8-210,310-490 2e-138 1.9e-134
Q08484 RabGAP-TBC 177.3 283-519 283-519 1.8e-56 3.4e-52
P53941 Brix 104.1 93-260 93-260 5.6e-34 1.1e-29
Q08295 Alpha-amylase 440.7 37-408 37-408 2.5e-136 4.8e-132
P17423 GHMP_kinases_N 35.8 96-157 96-157 7.5e-13 7.2e-09
P27810 Glyco_transf_15 439.3 41-341 41-341 5.2e-136 9.9e-132
P00175 Cyt-b5 78.8 92-165 92-165 4.2e-26 2.7e-22
P00175 FMN_dh 405.8 212-560 212-560 2.3e-125 1.5e-121
P41817 Homeobox_KN 64.9 180-219 180-219 5.1e-22 4.9e-18
P69771 Snf7 38.4 11-182 11-182 4.9e-14 9.4e-10
P39517 DEAD 152.1 70-236 70-236 1.4e-48 1.4e-44
P39517 Helicase_C 100.2 269-378 269-378 8.8e-33 8.5e-29
P53173 Cornichon 166.8 3-124 3-124 1.3e-53 2.4e-49
P53199 3Beta_HSD 347.1 8-280 8-280 2.1e-107 5.8e-104
P52911 Cellulase 41.2 95-346,387-459 95-346,387-459 7.4e-15 1.4e-10
P07149 FAS_N 129.7 5-133 5-133 2.7e-41 7.4e-38
P07149 SAT 136.5 158-413 158-413 4.5e-43 1.2e-39
P07149 DUF1729 511.4 727-1074 727-1074 4.1e-157 1.1e-153
P07149 FAS_meander 146.7 1130-1273 1130-1273 1.6e-46 4.4e-43
P07149 MaoC_dehydrat_N 55.2 1283-1406 1283-1406 2.9e-18 8e-15
P07149 MaoC_dehydratas 129 1522-1650 1522-1650 2.6e-41 7.1e-38
P07149 Acyl_transf_1 398.9 1663-1715,1769-2037 1663-1715,1769-2037 7.6e-123 2.1e-119
P53849 zf-CCHC 26.2 4-21 4-21 9.7e-10 6.2e-06
P53849 zf-CCHC 28.1 23-40 23-40 2.3e-10 1.5e-06
P53849 zf-CCHC 30.6 47-64 47-64 3.8e-11 2.4e-07
P53849 zf-CCHC 32.6 65-82 65-82 8.9e-12 5.7e-08
P53849 zf-CCHC 29.2 92-109 92-109 1.1e-10 7e-07
P53849 zf-CCHC 32.3 116-133 116-133 1.1e-11 7.3e-08
P53849 zf-CCHC 35 135-152 135-152 1.6e-12 1e-08
P02293 Histone 69.7 1-105 1-105 3.3e-23 3.2e-19
Q12753 Copper-fist 74.4 2-40 2-40 1.9e-25 3.7e-21
P39984 CAF1C_H4-bd 80.5 12-82 12-82 9.4e-27 9e-23
P39984 WD40 21.7 285-324 285-324 2.9e-08 0.00028
P00498 HisG 169.8 58-218 58-218 4.7e-54 4.5e-50
P00498 HisG_C 93.8 222-294 222-294 5.7e-31 5.5e-27
P18963 RasGAP 35.4 1730-1806 1730-1801 4.9e-13 9.4e-09
P18963 RasGAP 46.7 1797-1898 1802-1898 1.8e-16 3.4e-12
P07347 Acetyltransf_1 49.7 39-171 39-171 6.2e-17 4e-13
Q08280 MFS_1 74.1 84-411 84-411 5.2e-25 9.9e-21
Q02948 APG6_N 94.4 180-314 180-314 8.1e-31 7.7e-27
Q02948 APG6 199.6 317-535 317-535 4.4e-63 4.3e-59
Q05029 ChAPs 588.4 85-511 85-511 3.8e-181 7.4e-177
P29366 SH3_1 48.3 78-124 78-124 1.2e-16 5.7e-13
P29366 SH3_1 41.2 161-209 161-209 2e-14 9.8e-11
P29366 PX 32.4 305-399 305-399 2.4e-11 1.2e-07
P47068 SH3_1 30.6 11-61 11-61 2.1e-11 2e-07
P20438 Cyclin_N 156.6 43-195 43-195 1.4e-50 2.6e-46
P53188 Cgr1 116.1 12-119 12-119 4.9e-38 9.3e-34
P47112 CDT1_C 26.6 482-575 482-575 3.5e-10 6.6e-06
P32657 Chromo 25.7 178-248 178-248 3.5e-09 8.3e-06
P32657 Chromo 53.7 285-341 285-341 6.3e-18 1.5e-14
P32657 SNF2-rel_dom 230.2 379-665 379-665 1.3e-71 3e-68
P32657 Helicase_C 69.5 695-809 695-809 1.2e-22 2.9e-19
P32657 Cdh1_DBD_1 152.8 1010-1129 1010-1129 2e-48 4.7e-45
P32657 DUF4208 101.8 1368-1461 1368-1461 9.7e-33 2.3e-29
Q06675 CENP-O 53.4 175-333 175-333 1.8e-18 3.5e-14
P38907 CENP-N 368.5 14-445 14-445 3.2e-114 6.1e-110
Q3E846 COX6B 81.8 13-91 13-91 1.7e-27 3.3e-23
Q03071 Skp1_POZ 78.3 4-66 4-66 2e-26 3.8e-22
Q03103 ERO1 391 65-413 65-413 2.8e-121 5.4e-117
P20081 FKBP_C 113.4 19-111 19-111 2.5e-37 4.9e-33
Q08193 Glyco_hydro_72 493.5 19-331 19-331 2.8e-152 2.6e-148
Q05580 zf-C3HC4_3 30.2 60-110 60-110 1.7e-11 3.2e-07
P09932 Hom_end_hint 158.9 1-199,428-464 1-199,428-464 3.1e-50 2e-46
P09932 Hom_end 131.5 309-427 309-427 2.3e-42 1.5e-38
P07342 TPP_enzyme_N 190.7 92-261 92-261 2.6e-60 1.6e-56
P07342 TPP_enzyme_M 136.6 289-434 289-434 7.3e-44 4.7e-40
P07342 TPP_enzyme_C 168.5 496-643 496-643 1.4e-53 9.1e-50
P47155 Ilm1 36.6 6-115 6-115 1.9e-13 3.7e-09
P10081 DEAD 149.6 46-211 46-211 1.3e-47 8.1e-44
P10081 Helicase_C 106.5 246-355 246-355 1.5e-34 9.4e-31
Q06142 IBN_N 48.8 25-106 25-106 1.4e-16 5.4e-13
Q06142 HEAT_EZ 35.2 383-438 383-438 3.7e-12 1.4e-08
P00817 Pyrophosphatase 195.9 46-228 46-228 2e-62 3.9e-58
P06244 Pkinase 241.9 87-341 87-341 1.2e-75 7.7e-72
P38312 Cornichon 148.2 6-127 6-127 7.2e-48 1.4e-43
P43613 DnaJ 53.7 44-105 44-105 9.6e-19 1.8e-14
Q08906 FIT1_2 114.7 25-112 25-112 8.2e-38 1.6e-33
P29704 SQS_PSY 137.2 46-327 46-327 4e-44 7.7e-40
P38224 Fig1 199.5 65-265 65-265 2.6e-63 5.1e-59
Q12209 Ferric_reduct 71.3 119-233 119-233 4.1e-24 7.9e-20
P43574 DUF1752 29.8 58-85 58-85 4.3e-11 4.1e-07
P43574 GATA 53.1 310-344 310-344 1.9e-18 1.8e-14
Q04839 GFD1 72 129-172 129-172 1.9e-24 3.6e-20
P25555 RRM_1 68.7 124-192 124-192 1.6e-23 3.1e-19
P25555 RRM_1 64.4 221-290 221-290 3.4e-22 6.5e-18
P25555 RRM_1 61.9 351-420 351-420 2.1e-21 4.1e-17
P48813 AA_permease 442.5 153-621 153-621 1.8e-136 1.7e-132
P0CE11 EamA 29.2 89-231 89-231 9.9e-11 9.5e-07
P37303 Beta_elim_lyase 275.2 16-303 16-303 3.3e-86 6.4e-82
P40154 PAPA-1 71.5 237-318 237-318 4.1e-24 7.9e-20
Q04082 PIG-P 110.5 3-131 3-131 2.7e-36 5.2e-32
Q6Q546 ubiquitin 28.9 4-72 4-72 4e-11 7.6e-07
Q12385 Abhydrolase_1 84.9 71-119,155-290,323-381 71-119,155-290,323-381 2.3e-27 7.3e-24
P43560 GRAM 90.7 198-307 198-307 6.1e-30 5.8e-26
